scene,method,trial,step,time,x,y,z,goal_distance,goal_progress_delta,control_deviation,min_safety_h_step,active_constraints_count,runtime_step,qp_feasible,collision_step
stonehenge,safer_splat_filter,54,70,3.5,-0.4169501960277557,-0.0659986808896064,0.0484006702899932,0.7279535531997681,0.0006208419799804688,0.1183483973145484,0.0004884195514023,756,0.0645068977028131,True,False
stonehenge,safer_splat_filter,16,37,1.85,0.0950275883078575,0.2791305780410766,0.0582067109644413,0.7470927238464355,0.0007199645042419434,0.1182295903563499,0.0011345085222274,386,0.0625141430646181,True,False
stonehenge,safer_splat_filter,12,364,18.2,-0.2614922821521759,-0.2212689816951751,0.0403482876718044,0.1293309032917022,0.0007935315370560247,0.1182199046015739,0.0011776512255892,313,0.053001943975687,True,False
stonehenge,safer_splat_filter,78,35,1.75,-0.0177801959216594,-0.3940653502941131,0.0569877512753009,0.760894775390625,0.0006446242332458496,0.1182124018669128,0.0006824554875493,448,0.0713479146361351,True,False
stonehenge,safer_splat_filter,33,47,2.35,-0.2315864711999893,0.2721022367477417,0.0392146632075309,0.7296924591064453,0.0007510781288146973,0.1182081252336502,0.0011849397560581,611,0.0675569949671626,True,False
stonehenge,safer_splat_filter,93,166,8.3,0.0887478291988372,0.0402726829051971,0.0554977655410766,0.5381074547767639,0.000689387321472168,0.1181993782520294,0.000611277995631,372,0.0561447385698556,True,False
stonehenge,safer_splat_filter,57,37,1.85,-0.4042105376720428,-0.1810053884983062,0.0608684793114662,0.7495022416114807,0.000709831714630127,0.1181116923689842,0.0011167267803102,740,0.0658134631812572,True,False
stonehenge,safer_splat_filter,72,39,1.95,-0.1046160757541656,-0.3898488581180572,0.0421921946108341,0.752171516418457,0.0006015896797180176,0.1180812045931816,0.0011164990719407,513,0.0605292618274688,True,False
stonehenge,safer_splat_filter,62,33,1.65,-0.3332550525665283,-0.2871520817279815,0.0385257974267005,0.752924382686615,0.0008006095886230469,0.1180215552449226,0.0010738117853179,698,0.0597693342715501,True,False
stonehenge,safer_splat_filter,96,13,0.65,0.3027839362621307,-0.0968185365200042,0.0467447601258754,0.7806453108787537,0.0003299713134765625,0.1180053427815437,0.0007255903910845,511,0.0598205402493476,True,False
stonehenge,safer_splat_filter,93,165,8.25,0.0893091186881065,0.0393795631825923,0.0558591708540916,0.5387968420982361,0.0007159113883972168,0.1180050000548362,0.0006297868676483,381,0.0562748592346906,True,False
stonehenge,safer_splat_filter,56,58,2.9000000000000004,-0.4093048572540283,-0.1325737535953521,0.0590135268867015,0.7357892394065857,0.0006782412528991699,0.1179568991065025,0.0004131457244511,587,0.0613059308379888,True,False
stonehenge,safer_splat_filter,54,71,3.5500000000000003,-0.4164650440216064,-0.0653145164251327,0.048433419317007,0.7273409962654114,0.0006125569343566895,0.1179408356547355,0.0004702691512648,738,0.0640924060717225,True,False
stonehenge,safer_splat_filter,54,72,3.6,-0.4159792065620422,-0.0646606013178825,0.048489436507225,0.7267342805862427,0.0006067156791687012,0.1179093495011329,0.0004529481811914,733,0.0648332070559263,True,False
stonehenge,safer_splat_filter,92,157,7.85,0.1051589176058769,0.0099893417209386,0.0541825592517852,0.5543791055679321,0.0009331107139587402,0.117821417748928,0.0006775400834158,395,0.0536776334047317,True,False
stonehenge,safer_splat_filter,93,164,8.200000000000001,0.0898938924074173,0.0384696871042251,0.0561993718147277,0.5395127534866333,0.0007417798042297363,0.1177027523517608,0.0006467154016718,398,0.0562221556901931,True,False
stonehenge,safer_splat_filter,92,158,7.9,0.1044442132115364,0.0110089806839823,0.0543209686875343,0.5534518361091614,0.000927269458770752,0.1176886186003685,0.0006684333784505,393,0.0542383678257465,True,False
stonehenge,safer_splat_filter,92,160,8.0,0.1030299663543701,0.013088384643197,0.0545948147773742,0.5516067743301392,0.0009225606918334961,0.1176807358860969,0.0006545829819515,380,0.053921490907669,True,False
stonehenge,safer_splat_filter,92,156,7.800000000000001,0.1058808416128158,0.0089799826964735,0.0540414191782474,0.5553122162818909,0.0009375214576721191,0.117669977247715,0.000688056112267,417,0.0539351068437099,True,False
stonehenge,safer_splat_filter,96,14,0.7000000000000001,0.3026180267333984,-0.0959167554974556,0.0473514012992382,0.7803101539611816,0.0003351569175720215,0.1175630316138267,0.0007124784169718,503,0.0616557318717241,True,False
stonehenge,safer_splat_filter,12,363,18.15,-0.2609671056270599,-0.2206514328718185,0.040347646921873,0.1301244348287582,0.0008160322904586792,0.1175210103392601,0.0012307848082855,315,0.0528301820158958,True,False
stonehenge,safer_splat_filter,16,36,1.8,0.0957045927643776,0.2795659005641937,0.0581124313175678,0.7478126883506775,0.0007357001304626465,0.1175163239240646,0.0011914810165762,385,0.060322462581098,True,False
stonehenge,safer_splat_filter,92,172,8.6,0.0936643779277801,0.0254235044121742,0.0561664067208766,0.5398198962211609,0.0010229945182800293,0.1174883246421814,0.0006141172489151,359,0.0526726972311735,True,False
stonehenge,safer_splat_filter,92,159,7.95,0.1037366837263107,0.0120439836755394,0.0544584654271602,0.5525293350219727,0.0009225010871887207,0.1174569129943847,0.0006613266887143,394,0.0556331202387809,True,False
stonehenge,safer_splat_filter,57,36,1.8,-0.4046750962734222,-0.1816693842411041,0.0608126781880855,0.7502120733261108,0.0007328391075134277,0.1174518838524818,0.001170898322016,736,0.0663799373432993,True,False
stonehenge,safer_splat_filter,78,34,1.7000000000000002,-0.0171730853617191,-0.394597589969635,0.0568619109690189,0.7615393996238708,0.0006604790687561035,0.1174331530928611,0.0006954059936106,450,0.0721199549734592,True,False
stonehenge,safer_splat_filter,72,38,1.9,-0.1052214875817298,-0.3903881311416626,0.042357612401247,0.752773106098175,0.0006201267242431641,0.1174171715974807,0.0011621391167864,514,0.0615874715149402,True,False
