trial,method,group,collision,success,goal_distance_reduction_ratio,min_safety_h,num_steps,trajectory_length,average_speed_proxy,closest_goal_distance,final_goal_distance,has_trajectory_samples,nearest_gaussian_distance_mean,nearest_gaussian_distance_min,nearby_gaussian_count_r005,nearby_gaussian_count_r010,nearby_gaussian_count_r020,nearby_opacity_mean,nearby_max_scale_mean,nearby_anisotropy_mean,nearby_volume_proxy_mean
18,safer_splat_filter,safer_collision_free_higher_progress,False,False,0.9912523863867332,0.0006928752409294248,411,0.9104775786399841,0.04430547827931796,0.0003385028951948068,0.006859975263373276,False,,,,,,,,,
19,safer_splat_filter,safer_collision_free_higher_progress,False,False,0.9915961122003994,0.0007741630543023348,405,0.895392656326294,0.0442169213000639,0.0006904142162240565,0.006589154793985706,False,,,,,,,,,
20,safer_splat_filter,other,False,False,0.3099555610519188,0.0005243601044639945,160,0.3242405652999878,0.040530070662498474,0.540997661150946,0.540997661150946,False,,,,,,,,,
21,safer_splat_filter,other,False,False,0.2853863007506832,0.0008985286112874746,146,0.2833234965801239,0.038811437887688205,0.5603439461155102,0.5603439461155102,False,,,,,,,,,
22,safer_splat_filter,other,False,False,0.2758395955431046,0.0005239070160314441,155,0.25961729884147644,0.033499006302125996,0.5679208931946697,0.5679208931946697,False,,,,,,,,,
23,safer_splat_filter,other,False,False,0.07566546363496814,0.0008759634802117944,65,0.09253500401973724,0.028472308929149922,0.724867552874311,0.724867552874311,False,,,,,,,,,
24,safer_splat_filter,other,False,False,0.2603453470365924,0.000360770063707605,149,0.22412773966789246,0.03008426035810637,0.5799288655573358,0.5799288655573358,False,,,,,,,,,
25,safer_splat_filter,safer_collision_free_higher_progress,False,False,0.849577195401766,0.00041037084884010255,332,0.6711651086807251,0.04043163305305573,0.11793243676572927,0.11793243676572927,False,,,,,,,,,
26,safer_splat_filter,other,False,False,0.2909812609806962,0.0007601531688123941,122,0.2565555274486542,0.04205828318830396,0.5559625547194217,0.5559625547194217,False,,,,,,,,,
27,safer_splat_filter,other,False,False,0.27086807714914185,0.0014723772183060646,117,0.2585710883140564,0.04420018603659083,0.5718216343028765,0.5718216343028765,False,,,,,,,,,
28,safer_splat_filter,other,False,False,0.28717156367210406,0.0011569857597351074,133,0.28808391094207764,0.04332088886347032,0.5589987617376851,0.5589987617376851,False,,,,,,,,,
29,safer_splat_filter,other,False,False,0.30668062608086694,0.0011066688457503915,158,0.3220047056674957,0.04076008932499946,0.5435950597260754,0.5435950597260754,False,,,,,,,,,
30,safer_splat_filter,safer_collision_free_low_progress,False,False,0.0563357823198358,0.0010689010377973318,45,0.05489413067698479,0.02439739141199324,0.7398413686286686,0.7398413686286686,False,,,,,,,,,
31,safer_splat_filter,other,False,False,0.07210085240661754,0.001019556075334549,47,0.06406564265489578,0.027261975597827993,0.7276006545718141,0.7276006545718141,False,,,,,,,,,
32,safer_splat_filter,other,False,False,0.08056158386257363,0.0005807853303849697,62,0.08082903921604156,0.026073883618077925,0.721071350172924,0.721071350172924,False,,,,,,,,,
33,safer_splat_filter,other,False,False,0.07042617562664219,0.0011311457492411137,48,0.06254113465547562,0.02605880610644817,0.7289637087473487,0.7289637087473487,False,,,,,,,,,
34,safer_splat_filter,other,False,False,0.07623937878241495,0.0009176190942525864,48,0.06338485330343246,0.026410355543096856,0.7242662061901287,0.7242662061901287,False,,,,,,,,,
35,safer_splat_filter,other,False,False,0.06285087712794875,0.0011636080453172326,43,0.05209619924426079,0.02423079034616781,0.7347365158509663,0.7347365158509663,False,,,,,,,,,
36,safer_splat_filter,safer_collision_free_low_progress,False,False,0.05577939173070524,0.0013319343561306596,38,0.047578487545251846,0.025041309234343074,0.7404065202764248,0.7404065202764248,False,,,,,,,,,
37,safer_splat_filter,other,False,False,0.06655831822111713,0.0011701456969603896,43,0.05784400552511215,0.026904188616331235,0.7320548676052869,0.7320548676052869,False,,,,,,,,,
38,safer_splat_filter,safer_collision_free_low_progress,False,False,0.06133359753361773,0.0013058794429525733,41,0.0529136061668396,0.025811515203336386,0.7360873342300784,0.7360873342300784,False,,,,,,,,,
39,safer_splat_filter,other,False,False,0.0707787321058832,0.0009159088367596269,48,0.05945442616939545,0.024772677570581433,0.7285422171971633,0.7285422171971633,False,,,,,,,,,
40,safer_splat_filter,other,False,False,0.0648227103692475,0.001266765990294516,42,0.05156056582927704,0.024552650394893828,0.7331940425178357,0.7331940425178357,False,,,,,,,,,
41,safer_splat_filter,other,False,False,0.06502980707310162,0.0010105186374858022,46,0.05904870852828026,0.025673351534034893,0.7331602980843039,0.7331602980843039,False,,,,,,,,,
42,safer_splat_filter,other,False,False,0.0693983895793459,0.0010374566772952676,47,0.06231414154171944,0.026516655975199758,0.7298284850249002,0.7298284850249002,False,,,,,,,,,
43,safer_splat_filter,safer_collision_free_low_progress,False,False,0.057508595541150155,0.0010364324552938342,44,0.05520198494195938,0.02509181133725426,0.7390799028106796,0.7390799028106796,False,,,,,,,,,
44,safer_splat_filter,other,False,False,0.07742680804550861,0.000317254540277645,74,0.0856693685054779,0.02315388337985889,0.7233249127241173,0.7233249127241173,False,,,,,,,,,
