scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,safer_splat_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.06062971264410477,0.07055210508406162,0.9046153846153846,0.02506676092467719,0.07492418587207794,316.7938461538462,485.0,0,26.667489632964134,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,21,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008985286112874746,official GSplatLoader.query_distance safety h value; not meters,0.2853863007506832,0.7841214724880547,0.5603439461155102,0.5603439461155102,146,146,0.05803583039940424,0.06460808706469834,0.9794520547945206,0.0627118798781903,0.08255024254322052,370.64383561643837,611.75,0,11.544853099621832,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,22,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005239070160314441,official GSplatLoader.query_distance safety h value; not meters,0.2758395955431046,0.7842473707473664,0.5679208931946697,0.5679208931946697,155,155,0.05974928132829166,0.06851698737591505,0.9870967741935484,0.0716238893349698,0.10698535293340683,465.0967741935484,784.0999999999999,0,12.624804572202265,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,23,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008759634802117944,official GSplatLoader.query_distance safety h value; not meters,0.07566546363496814,0.7842047704123124,0.724867552874311,0.724867552874311,65,65,0.06343465563482963,0.07436015419661998,0.9692307692307692,0.08737164267783509,0.11378242820501328,421.4,567.4,0,5.535481444559991,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,24,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000360770063707605,official GSplatLoader.query_distance safety h value; not meters,0.2603453470365924,0.7840535623400265,0.5799288655573358,0.5799288655573358,149,149,0.06291696453004475,0.08437602277845141,0.9731543624161074,0.05017197518430001,0.07602224498987198,602.4362416107383,835.6,0,12.566122557036579,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,25,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00041037084884010255,official GSplatLoader.query_distance safety h value; not meters,0.849577195401766,0.7840063684540145,0.11793243676572927,0.11793243676572927,332,332,0.06323433514819088,0.07463149577379226,0.6385542168674698,0.021262388757597145,0.07409179955720901,685.3373493975904,956.9,0,28.271752611733973,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,26,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007601531688123941,official GSplatLoader.query_distance safety h value; not meters,0.2909812609806962,0.7841295640343929,0.5559625547194217,0.5559625547194217,122,122,0.06039086528519382,0.06919485367834569,0.5737704918032787,0.025449061251778312,0.0782155990600586,567.9016393442623,980.6499999999999,0,10.031680562533438,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,27,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0014723772183060646,official GSplatLoader.query_distance safety h value; not meters,0.27086807714914185,0.7842498955018884,0.5718216343028765,0.5718216343028765,117,117,0.060421322727114216,0.06874738093465567,0.8205128205128205,0.03251341279829048,0.07561179995536804,490.8974358974359,871.0,0,9.639185508713126,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,28,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011569857597351074,official GSplatLoader.query_distance safety h value; not meters,0.28717156367210406,0.7841981790419901,0.5589987617376851,0.5589987617376851,133,133,0.05877571479466401,0.06763232890516517,0.9548872180451128,0.042591023077358514,0.07606089860200882,399.37593984962405,770.8,0,10.719230496324599,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,29,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011066688457503915,official GSplatLoader.query_distance safety h value; not meters,0.30668062608086694,0.784047121968178,0.5435950597260754,0.5435950597260754,158,158,0.058515337396035844,0.07227597231976692,0.9810126582278481,0.05296027036689372,0.09285278618335724,344.2974683544304,683.3,0,12.600630276836455,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,30,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010689010377973318,official GSplatLoader.query_distance safety h value; not meters,0.0563357823198358,0.7840091366899987,0.7398413686286686,0.7398413686286686,45,45,0.06762090130812592,0.07938077542930841,0.9333333333333333,0.08694194311646973,0.11417557299137115,427.73333333333335,539.3999999999999,0,4.074575796723366,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
